c2,c3,c6,c7,c8,c9
0.49,0.29,0.56,0.24,0.35,2
0.56,0.4,0.49,0.37,0.46,2
0.23,0.32,0.55,0.25,0.35,2
0.29,0.28,0.44,0.23,0.34,2
0.21,0.34,0.51,0.28,0.39,2
0.42,0.4,0.56,0.18,0.3,2
0.42,0.24,0.57,0.27,0.37,2
0.25,0.48,0.44,0.17,0.29,2
0.39,0.32,0.46,0.24,0.35,2
0.51,0.5,0.46,0.32,0.35,2
0.22,0.43,0.48,0.16,0.28,2
0.34,0.45,0.38,0.24,0.35,2
0.44,0.27,0.55,0.52,0.58,2
0.23,0.4,0.39,0.28,0.38,2
0.41,0.57,0.39,0.21,0.32,2
0.4,0.45,0.38,0.22,0.0,2
0.31,0.23,0.73,0.05,0.14,2
0.3,0.16,0.56,0.11,0.23,2
0.36,0.39,0.48,0.22,0.23,2
0.43,0.37,0.53,0.35,0.44,2
0.43,0.39,0.47,0.31,0.41,2
0.53,0.38,0.44,0.26,0.36,2
0.34,0.33,0.38,0.35,0.44,2
0.4,0.29,0.42,0.35,0.44,2
0.24,0.35,0.31,0.19,0.31,2
0.32,0.42,0.35,0.28,0.38,2
0.38,0.46,0.48,0.22,0.29,2
0.28,0.38,0.5,0.33,0.42,2
0.43,0.4,0.39,0.28,0.39,2
0.42,0.35,0.58,0.15,0.27,2
0.23,0.33,0.43,0.33,0.43,2
0.29,0.3,0.45,0.03,0.17,2
0.47,0.47,0.22,0.16,0.26,2
0.54,0.47,0.28,0.33,0.42,2
0.51,0.37,0.35,0.36,0.45,2
0.4,0.35,0.45,0.33,0.42,2
0.44,0.34,0.3,0.33,0.43,2
0.42,0.38,0.54,0.34,0.43,2
0.52,0.36,0.41,0.28,0.38,2
0.18,0.3,0.46,0.24,0.35,2
0.47,0.29,0.51,0.33,0.43,2
0.25,0.37,0.41,0.33,0.42,2
0.25,0.37,0.43,0.26,0.36,2
0.26,0.26,0.34,0.25,0.35,2
0.44,0.51,0.47,0.26,0.36,2
0.44,0.42,0.42,0.25,0.2,2
0.24,0.43,0.37,0.28,0.38,2
0.42,0.3,0.48,0.26,0.36,2
0.48,0.42,0.45,0.25,0.35,2
0.44,0.28,0.43,0.27,0.37,2
0.34,0.28,0.41,0.35,0.44,2
0.41,0.43,0.45,0.31,0.41,2
0.29,0.47,0.41,0.23,0.34,2
0.52,0.44,0.37,0.36,0.42,2
0.5,0.51,0.27,0.23,0.34,2
0.53,0.42,0.16,0.29,0.39,2
0.4,0.42,0.37,0.27,0.27,2
0.41,0.43,0.5,0.24,0.25,2
0.3,0.45,0.36,0.21,0.32,2
0.31,0.47,0.29,0.28,0.39,2
0.35,0.37,0.3,0.34,0.43,2
0.51,0.46,0.58,0.31,0.41,2
0.38,0.4,0.63,0.25,0.35,2
0.38,0.26,0.54,0.16,0.28,2
0.33,0.47,0.53,0.18,0.29,2
0.24,0.34,0.38,0.3,0.4,2
0.43,0.32,0.33,0.45,0.52,2
0.49,0.43,0.49,0.3,0.4,2
0.47,0.28,0.56,0.2,0.25,2
0.32,0.33,0.6,0.06,0.2,2
0.35,0.34,0.46,0.3,0.27,2
0.38,0.3,0.43,0.29,0.39,2
0.38,0.44,0.43,0.2,0.31,2
0.41,0.51,0.58,0.2,0.31,2
0.34,0.42,0.41,0.34,0.43,2
0.51,0.49,0.53,0.14,0.26,2
0.29,0.28,0.5,0.42,0.5,2
0.25,0.26,0.39,0.32,0.42,2
0.24,0.41,0.49,0.23,0.34,2
0.04,0.31,0.41,0.29,0.39,2
0.61,0.36,0.49,0.35,0.44,2
0.28,0.33,0.45,0.22,0.33,2
0.23,0.34,0.43,0.26,0.37,2
0.39,0.31,0.38,0.34,0.43,2
0.3,0.44,0.49,0.22,0.33,2
0.27,0.3,0.71,0.28,0.39,2
0.36,0.42,0.53,0.32,0.41,2
0.3,0.37,0.43,0.18,0.3,2
0.26,0.4,0.36,0.26,0.37,2
0.4,0.41,0.55,0.22,0.33,2
0.22,0.34,0.42,0.29,0.39,2
0.32,0.39,0.53,0.28,0.38,1
